Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,,,,,
398,0.104606494,,,,,,,,,,,,,,,,,,,,,,
397,0.107337751,,,,,,,,,,,,,,,,,,,,,,
396,0.109710895,,,,,,,,,,,,,,,,,,,,,,
395,0.112698503,,,,,,,,,,,,,,,,,,,,,,
394,0.114608914,,,,,,,,,,,,,,,,,,,,,,
393,0.117177106,,,,,,,,,,,,,,,,,,,,,,
392,0.119932942,,,,,,,,,,,,,,,,,,,,,,
391,0.123507187,,,,,,,,,,,,,,,,,,,,,,
390,0.126764417,,,,,,,,,,,,,,,,,,,,,,
389,0.129506066,,,,,,,,,,,,,,,,,,,,,,
388,0.132047847,,,,,,,,,,,,,,,,,,,,,,
387,0.135487154,,,,,,,,,,,,,,,,,,,,,,
386,0.138973996,,,,,,,,,,,,,,,,,,,,,,
385,0.142610222,,,,,,,,,,,,,,,,,,,,,,
384,0.145648763,,,,,,,,,,,,,,,,,,,,,,
383,0.149328291,,,,,,,,,,,,,,,,,,,,,,
382,0.153725714,,,,,,,,,,,,,,,,,,,,,,
381,0.157322571,,,,,,,,,,,,,,,,,,,,,,
380,0.161175862,,,,,,,,,,,,,,,,,,,,,,
379,0.164744452,,,,,,,,,,,,,,,,,,,,,,
378,0.169559032,,,,,,,,,,,,,,,,,,,,,,
377,0.17268756,,,,,,,,,,,,,,,,,,,,,,
376,0.177118629,,,,,,,,,,,,,,,,,,,,,,
375,0.181571081,,,,,,,,,,,,,,,,,,,,,,
374,0.18578738,,,,,,,,,,,,,,,,,,,,,,
373,0.18998538,,,,,,,,,,,,,,,,,,,,,,
372,0.195235834,,,,,,,,,,,,,,,,,,,,,,
371,0.199821591,,,,,,,,,,,,,,,,,,,,,,
370,0.205849871,,,,,,,,,,,,,,,,,,,,,,
369,0.211101562,,,,,,,,,,,,,,,,,,,,,,
368,0.216053516,,,,,,,,,,,,,,,,,,,,,,
367,0.222098738,,,,,,,,,,,,,,,,,,,,,,
366,0.228130564,,,,,,,,,,,,,,,,,,,,,,
365,0.235867962,,,,,,,,,,,,,,,,,,,,,,
364,0.242424816,,,,,,,,,,,,,,,,,,,,,,
363,0.246622413,,,,,,,,,,,,,,,,,,,,,,
