Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,,,,,
477,0.010374183,,,,,,,,,,,,,,,,,,,,,,
476,0.01078255,,,,,,,,,,,,,,,,,,,,,,
475,0.011275033,,,,,,,,,,,,,,,,,,,,,,
474,0.011854735,,,,,,,,,,,,,,,,,,,,,,
473,0.012288409,,,,,,,,,,,,,,,,,,,,,,
472,0.013081688,,,,,,,,,,,,,,,,,,,,,,
471,0.013668804,,,,,,,,,,,,,,,,,,,,,,
470,0.014407477,,,,,,,,,,,,,,,,,,,,,,
469,0.015275688,,,,,,,,,,,,,,,,,,,,,,
468,0.016004397,,,,,,,,,,,,,,,,,,,,,,
467,0.016720852,,,,,,,,,,,,,,,,,,,,,,
466,0.017547963,,,,,,,,,,,,,,,,,,,,,,
465,0.018281955,,,,,,,,,,,,,,,,,,,,,,
464,0.019140126,,,,,,,,,,,,,,,,,,,,,,
463,0.019719813,,,,,,,,,,,,,,,,,,,,,,
462,0.020479657,,,,,,,,,,,,,,,,,,,,,,
461,0.021042794,,,,,,,,,,,,,,,,,,,,,,
460,0.021704888,,,,,,,,,,,,,,,,,,,,,,
459,0.02225621,,,,,,,,,,,,,,,,,,,,,,
458,0.022850767,,,,,,,,,,,,,,,,,,,,,,
457,0.023376666,,,,,,,,,,,,,,,,,,,,,,
456,0.023878997,,,,,,,,,,,,,,,,,,,,,,
455,0.024420053,,,,,,,,,,,,,,,,,,,,,,
454,0.02482716,,,,,,,,,,,,,,,,,,,,,,
453,0.025297916,,,,,,,,,,,,,,,,,,,,,,
452,0.025737237,,,,,,,,,,,,,,,,,,,,,,
451,0.026173348,,,,,,,,,,,,,,,,,,,,,,
450,0.026683552,,,,,,,,,,,,,,,,,,,,,,
449,0.027048318,,,,,,,,,,,,,,,,,,,,,,
448,0.027493993,,,,,,,,,,,,,,,,,,,,,,
447,0.027752364,,,,,,,,,,,,,,,,,,,,,,
446,0.02821542,,,,,,,,,,,,,,,,,,,,,,
445,0.028633675,,,,,,,,,,,,,,,,,,,,,,
444,0.029076802,,,,,,,,,,,,,,,,,,,,,,
443,0.029262703,,,,,,,,,,,,,,,,,,,,,,
442,0.029628921,,,,,,,,,,,,,,,,,,,,,,
441,0.029907422,,,,,,,,,,,,,,,,,,,,,,
440,0.030237801,,,,,,,,,,,,,,,,,,,,,,
439,0.030518025,,,,,,,,,,,,,,,,,,,,,,
438,0.030863572,,,,,,,,,,,,,,,,,,,,,,
437,0.03104387,,,,,,,,,,,,,,,,,,,,,,
436,0.031248223,,,,,,,,,,,,,,,,,,,,,,
435,0.031408481,,,,,,,,,,,,,,,,,,,,,,
434,0.031632576,,,,,,,,,,,,,,,,,,,,,,
433,0.031927742,,,,,,,,,,,,,,,,,,,,,,
432,0.032241289,,,,,,,,,,,,,,,,,,,,,,
431,0.032423139,,,,,,,,,,,,,,,,,,,,,,
430,0.032692384,,,,,,,,,,,,,,,,,,,,,,
429,0.033023857,,,,,,,,,,,,,,,,,,,,,,
428,0.033180244,,,,,,,,,,,,,,,,,,,,,,
427,0.033575483,,,,,,,,,,,,,,,,,,,,,,
426,0.033872899,,,,,,,,,,,,,,,,,,,,,,
425,0.034209531,,,,,,,,,,,,,,,,,,,,,,
424,0.034620564,,,,,,,,,,,,,,,,,,,,,,
423,0.035007354,,,,,,,,,,,,,,,,,,,,,,
422,0.035225652,,,,,,,,,,,,,,,,,,,,,,
421,0.035710156,,,,,,,,,,,,,,,,,,,,,,
420,0.036212869,,,,,,,,,,,,,,,,,,,,,,
419,0.036447201,,,,,,,,,,,,,,,,,,,,,,
418,0.036954291,,,,,,,,,,,,,,,,,,,,,,
417,0.037444055,,,,,,,,,,,,,,,,,,,,,,
416,0.037884802,,,,,,,,,,,,,,,,,,,,,,
415,0.03832899,,,,,,,,,,,,,,,,,,,,,,
414,0.038863875,,,,,,,,,,,,,,,,,,,,,,
413,0.039345428,,,,,,,,,,,,,,,,,,,,,,
412,0.039844029,,,,,,,,,,,,,,,,,,,,,,
411,0.040145881,,,,,,,,,,,,,,,,,,,,,,
410,0.040829413,,,,,,,,,,,,,,,,,,,,,,
409,0.041364711,,,,,,,,,,,,,,,,,,,,,,
408,0.041960798,,,,,,,,,,,,,,,,,,,,,,
407,0.042506915,,,,,,,,,,,,,,,,,,,,,,
406,0.043167125,,,,,,,,,,,,,,,,,,,,,,
405,0.043768987,,,,,,,,,,,,,,,,,,,,,,
404,0.0443937,,,,,,,,,,,,,,,,,,,,,,
403,0.045087773,,,,,,,,,,,,,,,,,,,,,,
402,0.045822106,,,,,,,,,,,,,,,,,,,,,,
401,0.046603616,,,,,,,,,,,,,,,,,,,,,,
400,0.047312867,,,,,,,,,,,,,,,,,,,,,,
399,0.04812428,,,,,,,,,,,,,,,,,,,,,,
398,0.048938427,,,,,,,,,,,,,,,,,,,,,,
397,0.049870059,,,,,,,,,,,,,,,,,,,,,,
396,0.050877437,,,,,,,,,,,,,,,,,,,,,,
395,0.051747855,,,,,,,,,,,,,,,,,,,,,,
394,0.052772578,,,,,,,,,,,,,,,,,,,,,,
393,0.053950675,,,,,,,,,,,,,,,,,,,,,,
392,0.054882795,,,,,,,,,,,,,,,,,,,,,,
391,0.056203999,,,,,,,,,,,,,,,,,,,,,,
390,0.057340082,,,,,,,,,,,,,,,,,,,,,,
389,0.058693148,,,,,,,,,,,,,,,,,,,,,,
388,0.059778731,,,,,,,,,,,,,,,,,,,,,,
387,0.061114669,,,,,,,,,,,,,,,,,,,,,,
386,0.062624507,,,,,,,,,,,,,,,,,,,,,,
385,0.06402839,,,,,,,,,,,,,,,,,,,,,,
384,0.065423466,,,,,,,,,,,,,,,,,,,,,,
383,0.066844419,,,,,,,,,,,,,,,,,,,,,,
382,0.068441644,,,,,,,,,,,,,,,,,,,,,,
381,0.070097595,,,,,,,,,,,,,,,,,,,,,,
380,0.07185515,,,,,,,,,,,,,,,,,,,,,,
379,0.073472962,,,,,,,,,,,,,,,,,,,,,,
378,0.075120896,,,,,,,,,,,,,,,,,,,,,,
377,0.07696525,,,,,,,,,,,,,,,,,,,,,,
376,0.079019234,,,,,,,,,,,,,,,,,,,,,,
375,0.080974437,,,,,,,,,,,,,,,,,,,,,,
374,0.082886986,,,,,,,,,,,,,,,,,,,,,,
373,0.085027061,,,,,,,,,,,,,,,,,,,,,,
372,0.087547265,,,,,,,,,,,,,,,,,,,,,,
371,0.089686207,,,,,,,,,,,,,,,,,,,,,,
370,0.092267923,,,,,,,,,,,,,,,,,,,,,,
369,0.094627917,,,,,,,,,,,,,,,,,,,,,,
368,0.097042918,,,,,,,,,,,,,,,,,,,,,,
367,0.099670701,,,,,,,,,,,,,,,,,,,,,,
366,0.102548465,,,,,,,,,,,,,,,,,,,,,,
365,0.105298244,,,,,,,,,,,,,,,,,,,,,,
364,0.108091466,,,,,,,,,,,,,,,,,,,,,,
363,0.11109744,,,,,,,,,,,,,,,,,,,,,,
362,0.113819219,,,,,,,,,,,,,,,,,,,,,,
361,0.116847456,,,,,,,,,,,,,,,,,,,,,,
360,0.120181605,,,,,,,,,,,,,,,,,,,,,,
359,0.124091126,,,,,,,,,,,,,,,,,,,,,,
358,0.126608029,,,,,,,,,,,,,,,,,,,,,,
357,0.130705446,,,,,,,,,,,,,,,,,,,,,,
356,0.134360597,,,,,,,,,,,,,,,,,,,,,,
355,0.138154283,,,,,,,,,,,,,,,,,,,,,,
354,0.14147912,,,,,,,,,,,,,,,,,,,,,,
353,0.145604238,,,,,,,,,,,,,,,,,,,,,,
352,0.149377689,,,,,,,,,,,,,,,,,,,,,,
351,0.153285816,,,,,,,,,,,,,,,,,,,,,,
350,0.157072485,,,,,,,,,,,,,,,,,,,,,,
349,0.160468727,,,,,,,,,,,,,,,,,,,,,,
348,0.164450705,,,,,,,,,,,,,,,,,,,,,,
347,0.16772157,,,,,,,,,,,,,,,,,,,,,,
346,0.171545073,,,,,,,,,,,,,,,,,,,,,,
345,0.175216541,,,,,,,,,,,,,,,,,,,,,,
