Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,,
480,0.008394773,,,,,,,,,,,,,,,,,,,
479,0.008718503,,,,,,,,,,,,,,,,,,,
478,0.009271793,,,,,,,,,,,,,,,,,,,
477,0.009338042,,,,,,,,,,,,,,,,,,,
476,0.009937171,,,,,,,,,,,,,,,,,,,
475,0.010598027,,,,,,,,,,,,,,,,,,,
474,0.010828462,,,,,,,,,,,,,,,,,,,
473,0.011327584,,,,,,,,,,,,,,,,,,,
472,0.01215635,,,,,,,,,,,,,,,,,,,
471,0.012908773,,,,,,,,,,,,,,,,,,,
470,0.013514187,,,,,,,,,,,,,,,,,,,
469,0.014455673,,,,,,,,,,,,,,,,,,,
468,0.014912662,,,,,,,,,,,,,,,,,,,
467,0.015989974,,,,,,,,,,,,,,,,,,,
466,0.016564688,,,,,,,,,,,,,,,,,,,
465,0.017341388,,,,,,,,,,,,,,,,,,,
464,0.01829065,,,,,,,,,,,,,,,,,,,
463,0.019099226,,,,,,,,,,,,,,,,,,,
462,0.019577893,,,,,,,,,,,,,,,,,,,
461,0.020400781,,,,,,,,,,,,,,,,,,,
460,0.020672528,,,,,,,,,,,,,,,,,,,
459,0.021636562,,,,,,,,,,,,,,,,,,,
458,0.0218897,,,,,,,,,,,,,,,,,,,
457,0.022647409,,,,,,,,,,,,,,,,,,,
456,0.023149472,,,,,,,,,,,,,,,,,,,
455,0.023717558,,,,,,,,,,,,,,,,,,,
454,0.024213715,,,,,,,,,,,,,,,,,,,
453,0.024522178,,,,,,,,,,,,,,,,,,,
452,0.025050901,,,,,,,,,,,,,,,,,,,
451,0.025630297,,,,,,,,,,,,,,,,,,,
450,0.026195042,,,,,,,,,,,,,,,,,,,
449,0.026657788,,,,,,,,,,,,,,,,,,,
448,0.027200665,,,,,,,,,,,,,,,,,,,
447,0.02741226,,,,,,,,,,,,,,,,,,,
446,0.027863279,,,,,,,,,,,,,,,,,,,
445,0.028177107,,,,,,,,,,,,,,,,,,,
444,0.028642856,,,,,,,,,,,,,,,,,,,
443,0.028948892,,,,,,,,,,,,,,,,,,,
442,0.029291751,,,,,,,,,,,,,,,,,,,
441,0.029451536,,,,,,,,,,,,,,,,,,,
440,0.029919541,,,,,,,,,,,,,,,,,,,
439,0.030216238,,,,,,,,,,,,,,,,,,,
438,0.030631648,,,,,,,,,,,,,,,,,,,
437,0.030722214,,,,,,,,,,,,,,,,,,,
436,0.031350769,,,,,,,,,,,,,,,,,,,
435,0.031304725,,,,,,,,,,,,,,,,,,,
434,0.031635527,,,,,,,,,,,,,,,,,,,
433,0.03181548,,,,,,,,,,,,,,,,,,,
432,0.032172039,,,,,,,,,,,,,,,,,,,
431,0.032638494,,,,,,,,,,,,,,,,,,,
430,0.032753538,,,,,,,,,,,,,,,,,,,
429,0.033233613,,,,,,,,,,,,,,,,,,,
428,0.033575624,,,,,,,,,,,,,,,,,,,
427,0.033915047,,,,,,,,,,,,,,,,,,,
426,0.034076292,,,,,,,,,,,,,,,,,,,
425,0.034398563,,,,,,,,,,,,,,,,,,,
424,0.034913648,,,,,,,,,,,,,,,,,,,
423,0.035399292,,,,,,,,,,,,,,,,,,,
422,0.035901502,,,,,,,,,,,,,,,,,,,
