Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,
370,0.083434179,,,,,,,,,,,,,,,,,,
369,0.086305402,,,,,,,,,,,,,,,,,,
368,0.088122025,,,,,,,,,,,,,,,,,,
367,0.090416379,,,,,,,,,,,,,,,,,,
366,0.09254618,,,,,,,,,,,,,,,,,,
365,0.095768414,,,,,,,,,,,,,,,,,,
364,0.098272383,,,,,,,,,,,,,,,,,,
363,0.099778436,,,,,,,,,,,,,,,,,,
362,0.102380857,,,,,,,,,,,,,,,,,,
361,0.104578532,,,,,,,,,,,,,,,,,,
360,0.107369408,,,,,,,,,,,,,,,,,,
359,0.110443063,,,,,,,,,,,,,,,,,,
358,0.112837978,,,,,,,,,,,,,,,,,,
357,0.115984708,,,,,,,,,,,,,,,,,,
356,0.119540893,,,,,,,,,,,,,,,,,,
355,0.122583091,,,,,,,,,,,,,,,,,,
354,0.125968278,,,,,,,,,,,,,,,,,,
353,0.128941491,,,,,,,,,,,,,,,,,,
352,0.132062078,,,,,,,,,,,,,,,,,,
351,0.135063678,,,,,,,,,,,,,,,,,,
350,0.138814569,,,,,,,,,,,,,,,,,,
349,0.141780391,,,,,,,,,,,,,,,,,,
348,0.144423649,,,,,,,,,,,,,,,,,,
347,0.148043886,,,,,,,,,,,,,,,,,,
346,0.150670722,,,,,,,,,,,,,,,,,,
345,0.153286442,,,,,,,,,,,,,,,,,,
344,0.156289816,,,,,,,,,,,,,,,,,,
343,0.159737781,,,,,,,,,,,,,,,,,,
342,0.163070902,,,,,,,,,,,,,,,,,,
341,0.166480467,,,,,,,,,,,,,,,,,,
340,0.169430077,,,,,,,,,,,,,,,,,,
339,0.17250602,,,,,,,,,,,,,,,,,,
338,0.176193804,,,,,,,,,,,,,,,,,,
337,0.179310694,,,,,,,,,,,,,,,,,,
336,0.183854416,,,,,,,,,,,,,,,,,,
335,0.185916722,,,,,,,,,,,,,,,,,,
334,0.189420626,,,,,,,,,,,,,,,,,,
333,0.192520246,,,,,,,,,,,,,,,,,,
332,0.195988298,,,,,,,,,,,,,,,,,,
331,0.199939758,,,,,,,,,,,,,,,,,,
330,0.20244126,,,,,,,,,,,,,,,,,,
329,0.206193686,,,,,,,,,,,,,,,,,,
328,0.207861021,,,,,,,,,,,,,,,,,,
327,0.210628271,,,,,,,,,,,,,,,,,,
326,0.214569166,,,,,,,,,,,,,,,,,,
325,0.216978222,,,,,,,,,,,,,,,,,,
324,0.21825248,,,,,,,,,,,,,,,,,,
323,0.220951065,,,,,,,,,,,,,,,,,,
322,0.223554164,,,,,,,,,,,,,,,,,,
321,0.225931093,,,,,,,,,,,,,,,,,,
320,0.228412464,,,,,,,,,,,,,,,,,,
319,0.231657401,,,,,,,,,,,,,,,,,,
318,0.234270707,,,,,,,,,,,,,,,,,,
317,0.236969322,,,,,,,,,,,,,,,,,,
316,0.23952128,,,,,,,,,,,,,,,,,,
315,0.241217017,,,,,,,,,,,,,,,,,,
314,0.244440123,,,,,,,,,,,,,,,,,,
313,0.246690065,,,,,,,,,,,,,,,,,,
312,0.249683589,,,,,,,,,,,,,,,,,,
311,0.252544284,,,,,,,,,,,,,,,,,,
310,0.255406499,,,,,,,,,,,,,,,,,,
